# ----------------------------------------
# 보고서 개요
# 계정: leonmcd
# 속성: leonMcd
# ----------------------------------------
#  
# 시작일: 20260504
# 종료일: 20260518
활성 사용자,새 사용자 수,활성 사용자당 평균 참여 시간,이벤트 수
75,79,1548.2266666666667,17951

#  
# 시작일: 20260504
# 종료일: 20260518
페이지 제목 및 화면 클래스,조회수,활성 사용자,이벤트 수,이탈률
Find Me,2815,75,17951,0.11374407582938388

#  
# 시작일: 20260504
# 종료일: 20260518
첫 사용자 소스 / 매체,활성 사용자
(direct) / (none),75

#  
# 시작일: 20260504
# 종료일: 20260518
세션 소스/매체,세션수
(direct) / (none),134
accounts.google.com / referral,49
project.ssafy.com / referral,29

#  
# 시작일: 20260504
# 종료일: 20260518
N일,new,returning
0000,0,0
0001,0,0
0002,3,2
0003,5,5
0004,6,9
0005,0,0
0006,0,4
0007,3,8
0008,27,6
0009,10,9
0010,10,5
0011,8,11
0012,4,2
0013,2,1
0014,1,4

# 플랫폼별 활동 비교
# 시작일: 20260504
# 종료일: 20260518
플랫폼,주요 이벤트


#  
# 시작일: 20260504
# 종료일: 20260518
시/군/구,활성 사용자
Seoul,42
Daejeon,29
Gumi-si,4
Gwangju,2
Busan,1
Hanam-si,1

#  
# 시작일: 20260504
# 종료일: 20260518
잠재고객 이름,활성 사용자
All Users,75
